163,440
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,381
222,380
223,379
227,371
238,353
254,325
261,310
272,290
278,280
280,276
281,274
282,274
282,274
283,273
285,272
289,267
296,257
304,245
308,237
311,229
313,220
315,212
316,203
317,192
318,185
318,174
318,170
317,164
314,156
308,144
307,139
304,134
302,131
297,130
285,130
276,135
256,152
248,162
240,172
233,183
226,199
221,216
217,233
214,251
213,266
213,282
213,296
213,309
216,318
218,324
221,329
224,333
227,336
233,339
266,340
285,340
315,337
354,331
358,330
376,325
378,324
382,322
382,321
383,320
383,320
383,320
383,320
383,320
383,320
378,324
370,334
358,349
346,365
328,392
313,417
301,437
294,450
289,461
287,467
286,469
286,469
286,470
286,470
286,470
286,470
286,468
289,464
296,452
308,434
329,406
337,396
354,378
380,354
388,347
394,343
396,341
397,340
397,340
397,341
397,342
383,364
373,378
362,397
357,403
354,409
354,410
354,410
354,409
358,404
367,392
381,378
386,374
392,368
395,365
397,364
397,364
397,364
398,364
398,364
398,364
398,364
398,364
398,365
397,367
397,368
397,370
396,370
396,371
396,371
396,371
398,370
400,367
404,364
406,361
409,359
410,357
411,356
412,356
412,356
412,356
412,356
409,359
402,368
393,382
382,397
366,427
349,462
339,488
329,516
326,522
324,530
324,533
324,534
324,534
324,534
326,534
331,533
338,529
348,521
367,508
385,491
405,468
426,444
439,427
452,409
457,400
460,394
461,390
461,389
461,389
460,389
457,389
451,389
442,390
437,392
432,395
424,401
420,404
417,408
415,409
415,410
415,411
415,411
417,409
434,392
455,375
501,336
566,284
631,225
692,162
711,137
722,122
734,103
736,98
738,92
739,88
739,87
739,87
734,87
717,107
668,175
599,282
570,329
541,379
525,407
513,427
509,434
508,437
508,438
508,440
508,444
509,451
512,456
514,460
515,462
516,463
517,464
518,464
519,463
527,454
537,442
545,433
552,418
553,410
553,404
548,400
543,398
538,396
535,395
534,395
534,395
534,395
534,395
539,394
559,382
601,352
637,323
663,298
679,280
693,265
697,258
700,255
701,252
702,251
703,250
703,249
703,249
774,219
774,219
774,219
774,219
775,212
781,197
784,188
792,173
797,164
810,143
820,130
827,122
834,116
839,113
844,110
847,110
847,109
847,109
845,113
840,119
835,126
828,137
817,156
795,194
783,215
774,233
767,249
764,256
763,258
763,259
763,259
765,258
767,256
779,243
800,227
829,208
846,198
867,189
878,187
882,187
886,187
887,189
888,199
888,235
878,287
861,352
833,417
790,485
739,544
664,618
650,630
639,639
631,645
629,646
628,647
628,647
628,646
628,644
628,642
628,640
628,639
628,639
628,639
628,639
454,204
454,204
454,204
454,204
454,204
